,id,fpr,tpr,TP,TN,FP,FN
0,0,0.0,0.0,0.0,17190.0,0.0,90.0
1,1,0.14056692,0.0,0.0,17190.0,2428.0,-2338.0
2,2,0.18006505,0.0,0.0,17190.0,3111.0,-3021.0
3,3,0.19818774,0.0,0.0,17190.0,3424.0,-3334.0
4,4,0.21212825,0.0,0.0,17190.0,3665.0,-3575.0
5,5,0.2239777,0.0,0.0,17190.0,3870.0,-3780.0
6,6,0.23303904,0.0,0.0,17190.0,4026.0,-3936.0
7,7,0.24093866,0.0,0.0,17190.0,4163.0,-4073.0
8,8,0.24674721,0.0,0.0,17190.0,4263.0,-4173.0
9,9,0.25185874,0.0,0.0,17190.0,4352.0,-4262.0
10,10,0.25906134,0.0,0.0,17190.0,4476.0,-4386.0
11,11,0.2644052,0.0,0.0,17190.0,4568.0,-4478.0
12,12,0.26974908,0.0,0.0,17190.0,4661.0,-4571.0
13,13,0.27416357,0.0,0.0,17190.0,4737.0,-4647.0
14,14,0.27741635,0.0,0.0,17190.0,4793.0,-4703.0
15,15,0.2820632,0.0,0.0,17190.0,4874.0,-4784.0
16,16,0.28647768,0.0,0.0,17190.0,4950.0,-4860.0
17,17,0.29019517,0.0,0.0,17190.0,5014.0,-4924.0
18,18,0.2932156,0.0,0.0,17190.0,5066.0,-4976.0
19,19,0.29530668,0.0,0.0,17190.0,5102.0,-5012.0
20,20,0.29739776,0.0,0.0,17190.0,5139.0,-5049.0
21,21,0.29972118,0.0,0.0,17190.0,5179.0,-5089.0
22,22,0.30274165,0.0,0.0,17190.0,5231.0,-5141.0
23,23,0.30483273,0.0,0.0,17190.0,5267.0,-5177.0
24,24,0.30831784,0.0,0.0,17190.0,5327.0,-5237.0
25,25,0.31133828,0.0,0.0,17190.0,5379.0,-5289.0
26,26,0.31342936,0.0,0.0,17190.0,5416.0,-5326.0
27,27,0.31575277,0.0,0.0,17190.0,5456.0,-5366.0
28,28,0.3180762,0.0,0.0,17190.0,5496.0,-5406.0
29,29,0.31900558,0.0,0.0,17190.0,5512.0,-5422.0
30,30,0.321329,0.0,0.0,17190.0,5552.0,-5462.0
31,31,0.32342008,0.0,0.0,17190.0,5588.0,-5498.0
32,32,0.32434943,0.0,0.0,17190.0,5604.0,-5514.0
33,33,0.32597584,0.0,0.0,17190.0,5632.0,-5542.0
34,34,0.3285316,0.0,0.0,17190.0,5677.0,-5587.0
35,35,0.32946098,0.0,0.0,17190.0,5693.0,-5603.0
36,36,0.3313197,0.0,0.0,17190.0,5725.0,-5635.0
37,37,0.33271375,0.0,0.0,17190.0,5749.0,-5659.0
38,38,0.3345725,0.0,0.0,17190.0,5781.0,-5691.0
39,39,0.33596656,0.0,0.0,17190.0,5805.0,-5715.0
40,40,0.33828998,0.0,0.0,17190.0,5845.0,-5755.0
41,41,0.33921933,0.0,0.0,17190.0,5861.0,-5771.0
42,42,0.34038103,0.0,0.0,17190.0,5881.0,-5791.0
43,43,0.34223977,0.0,0.0,17190.0,5913.0,-5823.0
44,44,0.34433085,0.0,0.0,17190.0,5950.0,-5860.0
45,45,0.3457249,0.0,0.0,17190.0,5974.0,-5884.0
46,46,0.34711897,0.0,0.0,17190.0,5998.0,-5908.0
47,47,0.34874535,0.0,0.0,17190.0,6026.0,-5936.0
48,48,0.34990707,0.0,0.0,17190.0,6046.0,-5956.0
49,49,0.35106876,0.0,0.0,17190.0,6066.0,-5976.0
50,50,0.3522305,0.0,0.0,17190.0,6086.0,-5996.0
51,51,0.35432157,0.0,0.0,17190.0,6122.0,-6032.0
52,52,0.35548326,0.0,0.0,17190.0,6142.0,-6052.0
53,53,0.3557156,0.0,0.0,17190.0,6146.0,-6056.0
54,54,0.356645,0.0,0.0,17190.0,6162.0,-6072.0
55,55,0.35757434,0.0,0.0,17190.0,6178.0,-6088.0
56,56,0.35850373,0.0,0.0,17190.0,6194.0,-6104.0
57,57,0.35873607,0.0,0.0,17190.0,6198.0,-6108.0
58,58,0.3601301,0.0,0.0,17190.0,6223.0,-6133.0
59,59,0.3610595,0.0,0.0,17190.0,6239.0,-6149.0
60,60,0.3617565,0.0,0.0,17190.0,6251.0,-6161.0
61,61,0.36407992,0.0,0.0,17190.0,6291.0,-6201.0
62,62,0.36570632,0.0,0.0,17190.0,6319.0,-6229.0
63,63,0.36710036,0.0,0.0,17190.0,6343.0,-6253.0
64,64,0.36802974,0.0,0.0,17190.0,6359.0,-6269.0
65,65,0.36872676,0.0,0.0,17190.0,6371.0,-6281.0
66,66,0.36965615,0.0,0.0,17190.0,6387.0,-6297.0
67,67,0.37105018,0.0,0.0,17190.0,6411.0,-6321.0
68,68,0.37151486,0.0,0.0,17190.0,6419.0,-6329.0
69,69,0.3722119,0.0,0.0,17190.0,6431.0,-6341.0
70,70,0.37476766,0.0,0.0,17190.0,6475.0,-6385.0
71,71,0.375,0.0,0.0,17190.0,6480.0,-6390.0
72,72,0.37616172,0.0,0.0,17190.0,6500.0,-6410.0
73,73,0.3777881,0.0,0.0,17190.0,6528.0,-6438.0
74,74,0.37871748,0.0,0.0,17190.0,6544.0,-6454.0
75,75,0.3794145,0.0,0.0,17190.0,6556.0,-6466.0
76,76,0.37964684,0.0,0.0,17190.0,6560.0,-6470.0
77,77,0.38011152,0.0,0.0,17190.0,6568.0,-6478.0
78,78,0.3810409,0.0,0.0,17190.0,6584.0,-6494.0
79,79,0.38173792,0.0,0.0,17190.0,6596.0,-6506.0
80,80,0.38289964,0.0,0.0,17190.0,6616.0,-6526.0
81,81,0.38406134,0.0,0.0,17190.0,6636.0,-6546.0
82,82,0.3854554,0.0,0.0,17190.0,6660.0,-6570.0
83,83,0.38568774,0.0,0.0,17190.0,6664.0,-6574.0
84,84,0.3866171,0.0,0.0,17190.0,6680.0,-6590.0
85,85,0.38754648,0.0,0.0,17190.0,6696.0,-6606.0
86,86,0.38801116,0.0,0.0,17190.0,6704.0,-6614.0
87,87,0.38917285,0.0,0.0,17190.0,6724.0,-6634.0
88,88,0.39033458,0.0,0.0,17190.0,6744.0,-6654.0
89,89,0.39149627,0.0,0.0,17190.0,6765.0,-6675.0
90,90,0.39196098,0.0,0.0,17190.0,6773.0,-6683.0
91,91,0.39289033,0.0,0.0,17190.0,6789.0,-6699.0
92,92,0.393355,0.0,0.0,17190.0,6797.0,-6707.0
93,93,0.3938197,0.0,0.0,17190.0,6805.0,-6715.0
94,94,0.39451674,0.0,0.0,17190.0,6817.0,-6727.0
95,95,0.3961431,0.0,0.0,17190.0,6845.0,-6755.0
96,96,0.3970725,0.0,0.0,17190.0,6861.0,-6771.0
97,97,0.39753717,0.0,0.0,17190.0,6869.0,-6779.0
98,98,0.39800185,0.0,0.0,17190.0,6877.0,-6787.0
99,99,0.39893124,0.0,0.0,17190.0,6893.0,-6803.0
100,100,0.40009293,0.0,0.0,17190.0,6913.0,-6823.0
101,101,0.40102232,0.0,0.0,17190.0,6929.0,-6839.0
102,102,0.40125465,0.0,0.0,17190.0,6933.0,-6843.0
103,103,0.40195167,0.0,0.0,17190.0,6945.0,-6855.0
104,104,0.40241635,0.0,0.0,17190.0,6953.0,-6863.0
105,105,0.4031134,0.0,0.0,17190.0,6965.0,-6875.0
106,106,0.40334573,0.0,0.0,17190.0,6969.0,-6879.0
107,107,0.4038104,0.0,0.0,17190.0,6977.0,-6887.0
108,108,0.40404275,0.0,0.0,17190.0,6981.0,-6891.0
109,109,0.4042751,0.0,0.0,17190.0,6985.0,-6895.0
110,110,0.40450743,0.0,0.0,17190.0,6989.0,-6899.0
111,111,0.40520447,0.0,0.0,17190.0,7001.0,-6911.0
112,112,0.40613383,0.0,0.0,17190.0,7017.0,-6927.0
113,113,0.4070632,0.0,0.0,17190.0,7034.0,-6944.0
114,114,0.40776023,0.0,0.0,17190.0,7046.0,-6956.0
115,115,0.40799257,0.0,0.0,17190.0,7050.0,-6960.0
116,116,0.4082249,0.0,0.0,17190.0,7054.0,-6964.0
117,117,0.40845725,0.0,0.0,17190.0,7058.0,-6968.0
118,118,0.40892193,0.0,0.0,17190.0,7066.0,-6976.0
119,119,0.40915427,0.0,0.0,17190.0,7070.0,-6980.0
120,120,0.41008365,0.0,0.0,17190.0,7086.0,-6996.0
121,121,0.41054833,0.0,0.0,17190.0,7094.0,-7004.0
