,id,fpr,tpr,TP,TN,FP,FN
0,0,0.0,0.0,0.0,17110.0,0.0,170.0
1,1,0.045592,0.0,0.0,17110.0,787.0,-617.0
2,2,0.07257502,0.0,0.0,17110.0,1254.0,-1084.0
3,3,0.091184,0.0,0.0,17110.0,1575.0,-1405.0
4,4,0.10258199,0.0,0.0,17110.0,1772.0,-1602.0
5,5,0.11444522,0.0,0.0,17110.0,1977.0,-1807.0
6,6,0.1216562,0.0,0.0,17110.0,2102.0,-1932.0
7,7,0.12816934,0.0,0.0,17110.0,2214.0,-2044.0
8,8,0.13398464,0.0,0.0,17110.0,2315.0,-2145.0
9,9,0.13910212,0.0,0.0,17110.0,2403.0,-2233.0
10,10,0.1446848,7.703567e-05,1.0,17109.0,2500.0,-2330.0
11,11,0.14887182,7.703567e-05,1.0,17109.0,2572.0,-2402.0
12,12,0.15329146,7.703567e-05,1.0,17109.0,2648.0,-2478.0
13,13,0.15678065,7.703567e-05,1.0,17109.0,2709.0,-2539.0
14,14,0.16096766,7.703567e-05,1.0,17109.0,2781.0,-2611.0
15,15,0.16375901,7.703567e-05,1.0,17109.0,2829.0,-2659.0
16,16,0.16864388,7.703567e-05,1.0,17109.0,2914.0,-2744.0
17,17,0.17329611,7.703567e-05,1.0,17109.0,2994.0,-2824.0
18,18,0.17771575,7.703567e-05,1.0,17109.0,3070.0,-2900.0
19,19,0.17980926,7.703567e-05,1.0,17109.0,3107.0,-2937.0
20,20,0.18120493,7.703567e-05,1.0,17109.0,3131.0,-2961.0
21,21,0.18329844,7.703567e-05,1.0,17109.0,3167.0,-2997.0
22,22,0.1863224,7.703567e-05,1.0,17109.0,3219.0,-3049.0
23,23,0.1902768,7.703567e-05,1.0,17109.0,3287.0,-3117.0
24,24,0.1921377,7.703567e-05,1.0,17109.0,3320.0,-3150.0
25,25,0.193766,7.703567e-05,1.0,17109.0,3348.0,-3178.0
26,26,0.19702256,7.703567e-05,1.0,17109.0,3404.0,-3234.0
27,27,0.1995813,7.703567e-05,1.0,17109.0,3448.0,-3278.0
28,28,0.20260526,7.703567e-05,1.0,17109.0,3501.0,-3331.0
29,29,0.20516399,7.703567e-05,1.0,17109.0,3545.0,-3375.0
30,30,0.20865318,7.703567e-05,1.0,17109.0,3605.0,-3435.0
31,31,0.21074669,7.703567e-05,1.0,17109.0,3641.0,-3471.0
32,32,0.21260758,7.703567e-05,1.0,17109.0,3673.0,-3503.0
33,33,0.21563154,7.703567e-05,1.0,17109.0,3726.0,-3556.0
34,34,0.21749245,7.703567e-05,1.0,17109.0,3758.0,-3588.0
35,35,0.21819028,7.703567e-05,1.0,17109.0,3770.0,-3600.0
36,36,0.21958596,7.703567e-05,1.0,17109.0,3794.0,-3624.0
37,37,0.2205164,7.703567e-05,1.0,17109.0,3810.0,-3640.0
38,38,0.2223773,7.703567e-05,1.0,17109.0,3842.0,-3672.0
39,39,0.22470342,7.703567e-05,1.0,17109.0,3882.0,-3712.0
40,40,0.22679693,7.703567e-05,1.0,17109.0,3919.0,-3749.0
41,41,0.22842522,7.703567e-05,1.0,17109.0,3947.0,-3777.0
42,42,0.2300535,7.703567e-05,1.0,17109.0,3975.0,-3805.0
43,43,0.23144917,7.703567e-05,1.0,17109.0,3999.0,-3829.0
44,44,0.23307747,7.703567e-05,1.0,17109.0,4027.0,-3857.0
45,45,0.23424052,7.703567e-05,1.0,17109.0,4047.0,-3877.0
46,46,0.23517098,7.703567e-05,1.0,17109.0,4063.0,-3893.0
47,47,0.23633403,7.703567e-05,1.0,17109.0,4083.0,-3913.0
48,48,0.23819493,7.703567e-05,1.0,17109.0,4116.0,-3946.0
49,49,0.24005583,7.703567e-05,1.0,17109.0,4148.0,-3978.0
50,50,0.24098627,7.703567e-05,1.0,17109.0,4164.0,-3994.0
51,51,0.24354501,7.703567e-05,1.0,17109.0,4208.0,-4038.0
52,52,0.24470808,7.703567e-05,1.0,17109.0,4228.0,-4058.0
53,53,0.24610375,7.703567e-05,1.0,17109.0,4252.0,-4082.0
54,54,0.24703419,7.703567e-05,1.0,17109.0,4268.0,-4098.0
55,55,0.2472668,7.703567e-05,1.0,17109.0,4272.0,-4102.0
56,56,0.24842986,7.703567e-05,1.0,17109.0,4292.0,-4122.0
