,id,fpr,tpr,TP,TN,FP,FN
0,0,0.0,0.0,0.0,17013.0,0.0,267.0
1,1,0.016061453,0.0,0.0,17013.0,277.0,-10.0
2,2,0.026536312,0.0,0.0,17013.0,458.0,-191.0
3,3,0.032588456,0.0,0.0,17013.0,563.0,-296.0
4,4,0.040502794,0.0,0.0,17013.0,699.0,-432.0
5,5,0.047020484,0.0,0.0,17013.0,812.0,-545.0
6,6,0.052607078,0.0,0.0,17013.0,909.0,-642.0
7,7,0.055633146,0.0,0.0,17013.0,961.0,-694.0
8,8,0.05772812,0.0,0.0,17013.0,997.0,-730.0
9,9,0.060521416,0.0,0.0,17013.0,1045.0,-778.0
10,10,0.062616386,0.0,0.0,17013.0,1082.0,-815.0
11,11,0.06447858,0.0,0.0,17013.0,1114.0,-847.0
12,12,0.06634078,0.0,0.0,17013.0,1146.0,-879.0
13,13,0.06959963,0.0,0.0,17013.0,1202.0,-935.0
14,14,0.0726257,0.0,0.0,17013.0,1254.0,-987.0
15,15,0.074255124,0.0,0.0,17013.0,1283.0,-1016.0
16,16,0.07681564,0.0,0.0,17013.0,1327.0,-1060.0
17,17,0.07844506,0.0,0.0,17013.0,1355.0,-1088.0
18,18,0.07984171,0.0,0.0,17013.0,1379.0,-1112.0
19,19,0.08193669,0.0,0.0,17013.0,1415.0,-1148.0
20,20,0.084962755,0.0,0.0,17013.0,1468.0,-1201.0
21,21,0.087523274,0.0,0.0,17013.0,1512.0,-1245.0
22,22,0.08798882,0.0,0.0,17013.0,1520.0,-1253.0
23,23,0.0900838,0.0,0.0,17013.0,1556.0,-1289.0
24,24,0.0910149,0.0,0.0,17013.0,1572.0,-1305.0
25,25,0.09241155,0.0,0.0,17013.0,1596.0,-1329.0
26,26,0.09357542,0.0,0.0,17013.0,1616.0,-1349.0
27,27,0.09497207,0.0,0.0,17013.0,1641.0,-1374.0
28,28,0.096135944,0.0,0.0,17013.0,1661.0,-1394.0
29,29,0.097998135,0.0,0.0,17013.0,1693.0,-1426.0
30,30,0.098463684,0.0,0.0,17013.0,1701.0,-1434.0
31,31,0.09939478,0.0,0.0,17013.0,1717.0,-1450.0
32,32,0.10102421,0.0,0.0,17013.0,1745.0,-1478.0
33,33,0.10195531,0.0,0.0,17013.0,1761.0,-1494.0
34,34,0.10288641,0.0,0.0,17013.0,1777.0,-1510.0
35,35,0.10335196,0.0,0.0,17013.0,1785.0,-1518.0
36,36,0.10428306,0.0,0.0,17013.0,1802.0,-1535.0
37,37,0.10474861,0.0,0.0,17013.0,1810.0,-1543.0
38,38,0.10498138,0.0,0.0,17013.0,1814.0,-1547.0
39,39,0.10544693,0.0,0.0,17013.0,1822.0,-1555.0
40,40,0.106843576,0.0,0.0,17013.0,1846.0,-1579.0
41,41,0.108007446,0.0,0.0,17013.0,1866.0,-1599.0
42,42,0.108938545,0.0,0.0,17013.0,1882.0,-1615.0
43,43,0.10963687,0.0,0.0,17013.0,1894.0,-1627.0
44,44,0.11033519,0.0,0.0,17013.0,1906.0,-1639.0
45,45,0.11149907,0.0,0.0,17013.0,1926.0,-1659.0
46,46,0.11266294,0.0,0.0,17013.0,1946.0,-1679.0
47,47,0.11405959,0.0,0.0,17013.0,1970.0,-1703.0
48,48,0.11522347,0.0,0.0,17013.0,1991.0,-1724.0
49,49,0.11638734,0.0,0.0,17013.0,2011.0,-1744.0
50,50,0.118249536,0.0,0.0,17013.0,2043.0,-1776.0
51,51,0.118715085,0.0,0.0,17013.0,2051.0,-1784.0
52,52,0.12011173,0.0,0.0,17013.0,2075.0,-1808.0
53,53,0.121275604,0.0,0.0,17013.0,2095.0,-1828.0
54,54,0.1222067,0.0,0.0,17013.0,2111.0,-1844.0
55,55,0.12267225,0.0,0.0,17013.0,2119.0,-1852.0
56,56,0.1240689,7.701787e-05,1.0,17012.0,2143.0,-1876.0
57,57,0.12430168,7.701787e-05,1.0,17012.0,2147.0,-1880.0
58,58,0.1259311,7.701787e-05,1.0,17012.0,2176.0,-1909.0
59,59,0.12616387,7.701787e-05,1.0,17012.0,2180.0,-1913.0
60,60,0.12709497,7.701787e-05,1.0,17012.0,2196.0,-1929.0
61,61,0.12756053,7.701787e-05,1.0,17012.0,2204.0,-1937.0
62,62,0.12802607,7.701787e-05,1.0,17012.0,2212.0,-1945.0
63,63,0.12895717,7.701787e-05,1.0,17012.0,2228.0,-1961.0
64,64,0.1296555,7.701787e-05,1.0,17012.0,2240.0,-1973.0
65,65,0.13081937,7.701787e-05,1.0,17012.0,2260.0,-1993.0
66,66,0.13128492,7.701787e-05,1.0,17012.0,2268.0,-2001.0
67,67,0.13221602,7.701787e-05,1.0,17012.0,2284.0,-2017.0
68,68,0.13244879,7.701787e-05,1.0,17012.0,2288.0,-2021.0
