id,loss
0,1.094295
1,0.97686386
2,0.8526053
3,0.7940646
4,0.7370559
5,0.6517551
6,0.6057103
7,0.589334
8,0.55542797
9,0.5311779
10,0.52302074
11,0.55315316
12,0.5475942
13,0.5507127
14,0.52776945
15,0.5166466
16,0.5037571
17,0.48763245
18,0.46804664
19,0.4560467
20,0.44660482
21,0.43037748
22,0.41859674
23,0.4096143
24,0.39503783
25,0.38213855
26,0.3676282
27,0.35843322
28,0.35006234
29,0.34181768
30,0.33835155
31,0.32882547
32,0.3287519
33,0.31999865
34,0.31625405
35,0.3085115
36,0.30383548
37,0.29654247
38,0.28874463
39,0.29280776
40,0.28484806
41,0.2786367
42,0.27783206
43,0.27701414
44,0.27224794
45,0.26812634
46,0.26757276
47,0.26939666
48,0.2675942
49,0.26242754
50,0.25972426
51,0.2538434
52,0.24886726
53,0.24388517
54,0.23881653
55,0.23698513
56,0.23440716
57,0.23108178
58,0.22648634
59,0.2233731
60,0.21980369
61,0.21706873
62,0.21361677
63,0.21162766
64,0.2082201
65,0.20641851
66,0.20452204
67,0.20071311
68,0.19856922
69,0.19643565
70,0.19310161
71,0.19140825
72,0.18852136
73,0.18691973
74,0.18469343
75,0.18506587
76,0.1830095
77,0.18441036
78,0.18374163
79,0.18365511
80,0.18217805
81,0.18105684
82,0.18338886
83,0.18389043
84,0.18262947
85,0.18066941
86,0.17875417
87,0.17974846
88,0.17896259
89,0.18185954
90,0.18052085
91,0.18053007
92,0.18066144
93,0.18450962
94,0.18362707
95,0.18228246
96,0.18119544
97,0.1803665
98,0.18137695
99,0.18074188
100,0.18156427
101,0.1792651
102,0.17839828
103,0.1758746
104,0.17625326
105,0.17382891
106,0.17472686
107,0.1742207
108,0.17272355
109,0.17243055
110,0.17303932
111,0.171139
112,0.16887453
113,0.16609372
114,0.16435419
115,0.16209686
116,0.16237597
117,0.16097634
118,0.16005808
119,0.15993805
120,0.15747242
121,0.15765315
122,0.15754917
123,0.15723686
124,0.1554059
125,0.1537438
126,0.1539872
127,0.15384282
128,0.1537695
129,0.1520299
130,0.15083985
131,0.14953749
132,0.15081188
133,0.14949746
134,0.1495144
135,0.14811552
136,0.14846087
137,0.14839539
138,0.14651062
139,0.14658087
140,0.14840922
141,0.1485116
142,0.14927346
143,0.14936672
144,0.14834149
145,0.14909698
146,0.14742367
147,0.1472112
148,0.1458856
149,0.1467576
150,0.1474059
151,0.1464112
152,0.14735433
153,0.144956
154,0.14554517
155,0.14410685
156,0.14393748
157,0.14521082
158,0.14390717
159,0.14196248
160,0.14295352
161,0.14273556
162,0.1417982
163,0.14713323
164,0.14541571
165,0.1444458
166,0.14244437
167,0.14112729
168,0.14008814
169,0.14039193
170,0.14068833
171,0.14301871
172,0.14279252
173,0.1427818
174,0.14553283
175,0.14914735
176,0.1473538
177,0.14802323
178,0.1467074
179,0.1468176
180,0.1481278
181,0.14581
182,0.14722618
183,0.14764997
184,0.15032643
185,0.15067329
186,0.14941037
187,0.15064241
188,0.15022841
189,0.14936404
190,0.14710815
191,0.1471859
192,0.14672698
193,0.14770812
194,0.14866762
195,0.146474
196,0.14969432
197,0.14953244
198,0.14895834
199,0.14921027
200,0.15078872
201,0.15435396
202,0.15222971
203,0.15298648
204,0.15347132
205,0.15270096
206,0.15093626
207,0.15074098
208,0.15068543
209,0.15099822
210,0.15002753
211,0.14820819
212,0.14778066
213,0.14678302
214,0.14658938
215,0.14463985
216,0.14453794
217,0.14497072
218,0.14541131
219,0.14500013
220,0.14379609
221,0.14332691
222,0.14249845
223,0.14070323
224,0.14093031
225,0.1420033
226,0.14053884
227,0.13999106
228,0.13875592
229,0.14062947
230,0.1411475
231,0.1394903
232,0.14462754
233,0.14289169
234,0.14163102
235,0.14134991
236,0.14262031
237,0.14252336
238,0.14189631
239,0.14150333
240,0.14245518
241,0.14456518
242,0.14366937
243,0.14386605
244,0.14565238
245,0.1450542
246,0.14316593
247,0.14270538
248,0.14175281
249,0.14209126
250,0.14310159
251,0.14408283
252,0.14563805
253,0.14511606
254,0.14535673
255,0.1469962
256,0.14868172
257,0.14768581
258,0.14776361
259,0.14942129
260,0.15059704
261,0.1506712
262,0.14903031
263,0.14795084
264,0.14904834
265,0.148273
266,0.14872262
267,0.14880767
268,0.15023899
269,0.14971901
270,0.14989267
271,0.14838882
272,0.14722767
273,0.14594261
274,0.14817888
275,0.14893697
276,0.14773765
277,0.14645128
278,0.14735968
279,0.14748645
280,0.14821973
281,0.14688718
282,0.14535515
283,0.1467171
