,id,fpr,tpr,TP,TN,FP,FN
0,0,0.0,0.0,0.0,17088.0,0.0,192.0
1,1,0.08060395,0.0,0.0,17088.0,1392.0,-1200.0
2,2,0.1087108,0.0,0.0,17088.0,1878.0,-1686.0
3,3,0.12799071,0.0,0.0,17088.0,2211.0,-2019.0
4,4,0.13658537,0.0,0.0,17088.0,2360.0,-2168.0
5,5,0.14610918,0.0,0.0,17088.0,2524.0,-2332.0
6,6,0.15586527,0.0,0.0,17088.0,2693.0,-2501.0
7,7,0.16236934,0.0,0.0,17088.0,2805.0,-2613.0
8,8,0.1688734,0.0,0.0,17088.0,2918.0,-2726.0
9,9,0.17537747,0.0,0.0,17088.0,3030.0,-2838.0
10,10,0.18002322,0.0,0.0,17088.0,3110.0,-2918.0
11,11,0.18513356,0.0,0.0,17088.0,3199.0,-3007.0
12,12,0.18977933,0.0,0.0,17088.0,3279.0,-3087.0
13,13,0.19396052,0.0,0.0,17088.0,3351.0,-3159.0
14,14,0.19860627,0.0,0.0,17088.0,3431.0,-3239.0
15,15,0.20046458,0.0,0.0,17088.0,3464.0,-3272.0
16,16,0.20418118,0.0,0.0,17088.0,3528.0,-3336.0
17,17,0.20627178,0.0,0.0,17088.0,3564.0,-3372.0
18,18,0.21231127,0.0,0.0,17088.0,3668.0,-3476.0
19,19,0.215331,0.0,0.0,17088.0,3720.0,-3528.0
20,20,0.21765389,0.0,0.0,17088.0,3761.0,-3569.0
21,21,0.21997677,0.0,0.0,17088.0,3801.0,-3609.0
22,22,0.22183508,0.0,0.0,17088.0,3833.0,-3641.0
23,23,0.22346109,0.0,0.0,17088.0,3861.0,-3669.0
24,24,0.22485483,0.0,0.0,17088.0,3885.0,-3693.0
25,25,0.22764228,0.0,0.0,17088.0,3933.0,-3741.0
26,26,0.23159118,0.0,0.0,17088.0,4001.0,-3809.0
27,27,0.23344947,0.0,0.0,17088.0,4034.0,-3842.0
28,28,0.23507549,0.0,0.0,17088.0,4062.0,-3870.0
29,29,0.23739837,0.0,0.0,17088.0,4102.0,-3910.0
30,30,0.23948896,0.0,0.0,17088.0,4138.0,-3946.0
31,31,0.24041812,0.0,0.0,17088.0,4154.0,-3962.0
32,32,0.242741,0.0,0.0,17088.0,4194.0,-4002.0
33,33,0.24413472,0.0,0.0,17088.0,4218.0,-4026.0
34,34,0.24599303,0.0,0.0,17088.0,4250.0,-4058.0
35,35,0.2464576,0.0,0.0,17088.0,4258.0,-4066.0
36,36,0.24715447,0.0,0.0,17088.0,4270.0,-4078.0
37,37,0.24831592,0.0,0.0,17088.0,4290.0,-4098.0
38,38,0.24878049,0.0,0.0,17088.0,4298.0,-4106.0
39,39,0.2504065,0.0,0.0,17088.0,4327.0,-4135.0
40,40,0.25180024,0.0,0.0,17088.0,4351.0,-4159.0
41,41,0.25319397,0.0,0.0,17088.0,4375.0,-4183.0
42,42,0.2543554,0.0,0.0,17088.0,4395.0,-4203.0
43,43,0.25505227,0.0,0.0,17088.0,4407.0,-4215.0
44,44,0.2562137,0.0,0.0,17088.0,4427.0,-4235.0
45,45,0.25807202,0.0,0.0,17088.0,4459.0,-4267.0
46,46,0.2599303,0.0,0.0,17088.0,4491.0,-4299.0
47,47,0.26085946,0.0,0.0,17088.0,4507.0,-4315.0
48,48,0.26155633,0.0,0.0,17088.0,4519.0,-4327.0
49,49,0.26248547,0.0,0.0,17088.0,4535.0,-4343.0
50,50,0.26318234,0.0,0.0,17088.0,4547.0,-4355.0
51,51,0.2638792,0.0,0.0,17088.0,4559.0,-4367.0
52,52,0.26480836,0.0,0.0,17088.0,4575.0,-4383.0
53,53,0.2662021,0.0,0.0,17088.0,4599.0,-4407.0
54,54,0.26689896,0.0,0.0,17088.0,4612.0,-4420.0
55,55,0.2682927,0.0,0.0,17088.0,4636.0,-4444.0
56,56,0.27131242,0.0,0.0,17088.0,4688.0,-4496.0
57,57,0.27247387,0.0,0.0,17088.0,4708.0,-4516.0
58,58,0.2738676,0.0,0.0,17088.0,4732.0,-4540.0
59,59,0.27479675,0.0,0.0,17088.0,4748.0,-4556.0
60,60,0.2757259,0.0,0.0,17088.0,4764.0,-4572.0
61,61,0.27735192,0.0,0.0,17088.0,4792.0,-4600.0
62,62,0.2775842,0.0,0.0,17088.0,4796.0,-4604.0
63,63,0.27897793,0.0,0.0,17088.0,4820.0,-4628.0
64,64,0.27990708,0.0,0.0,17088.0,4836.0,-4644.0
65,65,0.2813008,0.0,0.0,17088.0,4860.0,-4668.0
66,66,0.28199768,0.0,0.0,17088.0,4872.0,-4680.0
67,67,0.28339142,0.0,0.0,17088.0,4897.0,-4705.0
68,68,0.28455284,0.0,0.0,17088.0,4917.0,-4725.0
69,69,0.285482,0.0,0.0,17088.0,4933.0,-4741.0
70,70,0.28617886,0.0,0.0,17088.0,4945.0,-4753.0
71,71,0.28687572,0.0,0.0,17088.0,4957.0,-4765.0
72,72,0.28780487,0.0,0.0,17088.0,4973.0,-4781.0
73,73,0.2891986,0.0,0.0,17088.0,4997.0,-4805.0
74,74,0.29012775,0.0,0.0,17088.0,5013.0,-4821.0
75,75,0.2910569,0.0,0.0,17088.0,5029.0,-4837.0
76,76,0.29291523,0.0,0.0,17088.0,5061.0,-4869.0
77,77,0.2931475,0.0,0.0,17088.0,5065.0,-4873.0
78,78,0.29477352,0.0,0.0,17088.0,5093.0,-4901.0
79,79,0.2954704,0.0,0.0,17088.0,5105.0,-4913.0
80,80,0.29593495,0.0,0.0,17088.0,5113.0,-4921.0
81,81,0.2966318,0.0,0.0,17088.0,5125.0,-4933.0
82,82,0.297561,0.0,0.0,17088.0,5141.0,-4949.0
83,83,0.29825783,0.0,0.0,17088.0,5153.0,-4961.0
84,84,0.2989547,0.0,0.0,17088.0,5165.0,-4973.0
85,85,0.299187,0.0,0.0,17088.0,5169.0,-4977.0
86,86,0.29988384,0.0,0.0,17088.0,5181.0,-4989.0
87,87,0.30034843,0.0,0.0,17088.0,5190.0,-4998.0
88,88,0.3015099,0.0,0.0,17088.0,5210.0,-5018.0
89,89,0.30174217,0.0,0.0,17088.0,5214.0,-5022.0
90,90,0.30243903,0.0,0.0,17088.0,5226.0,-5034.0
91,91,0.3031359,0.0,0.0,17088.0,5238.0,-5046.0
92,92,0.30360046,0.0,0.0,17088.0,5246.0,-5054.0
